epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5493,0.87863,1.97048,0.95502,0.85529,0.9322,0.92284,0.66807,0.92934,1.73709,0.94646,0.000662791,0.000662791,0.000662791
2,96.2869,0.89344,1.09224,0.97308,0.86654,0.87571,0.91982,0.64244,0.99228,0.99425,0.97498,0.0013163,0.0013163,0.0013163
3,128.066,0.9153,0.8254,0.98712,0.86016,0.86878,0.88281,0.6428,0.97544,0.94078,0.96306,0.0019566,0.0019566,0.0019566
4,159.625,0.8585,0.65454,0.96876,0.8172,0.85871,0.90232,0.68491,0.91034,0.74315,0.92496,0.0019406,0.0019406,0.0019406
5,191.327,0.83765,0.61811,0.95701,0.88133,0.9548,0.95085,0.7071,0.87761,0.64899,0.92782,0.0019208,0.0019208,0.0019208
6,223.154,0.80597,0.5629,0.95061,0.89909,0.95646,0.95196,0.71278,0.84389,0.55182,0.92422,0.001901,0.001901,0.001901
7,254.818,0.77875,0.52452,0.93508,0.89144,0.96045,0.95316,0.7402,0.83093,0.52438,0.91349,0.0018812,0.0018812,0.0018812
8,286.42,0.77063,0.49847,0.93264,0.93794,0.93921,0.9677,0.72295,0.83535,0.51328,0.92708,0.0018614,0.0018614,0.0018614
9,317.896,0.75938,0.48451,0.92361,0.87752,0.9715,0.95636,0.75465,0.76476,0.46439,0.89696,0.0018416,0.0018416,0.0018416
10,349.441,0.7412,0.47268,0.92108,0.91471,0.9661,0.96844,0.74878,0.76556,0.45094,0.89608,0.0018218,0.0018218,0.0018218
11,380.899,0.71864,0.45545,0.90689,0.89259,0.97175,0.96358,0.74732,0.80148,0.47904,0.89679,0.001802,0.001802,0.001802
12,412.419,0.72056,0.45656,0.91732,0.9243,0.93785,0.96207,0.73381,0.76908,0.46978,0.90103,0.0017822,0.0017822,0.0017822
13,443.719,0.71594,0.44383,0.90992,0.93671,0.9548,0.96992,0.73711,0.80946,0.47229,0.91544,0.0017624,0.0017624,0.0017624
14,475.083,0.69947,0.4348,0.90462,0.92177,0.97175,0.96545,0.77001,0.75139,0.43413,0.88765,0.0017426,0.0017426,0.0017426
15,506.334,0.69423,0.43127,0.90561,0.9337,0.9548,0.97157,0.75994,0.74699,0.45349,0.88861,0.0017228,0.0017228,0.0017228
16,537.73,0.67095,0.42014,0.89778,0.94968,0.93785,0.97234,0.7764,0.70143,0.42851,0.87564,0.001703,0.001703,0.001703
